"Date","FHV","Yellow"
2018-01-01,701932,237118
2018-01-02,547158,238152
2018-01-03,583436,266992
2018-01-04,354451,122222
2018-01-05,699753,265212
2018-01-06,793669,281260
2018-01-07,676681,237393
2018-01-08,595390,259792
2018-01-09,583267,284662
2018-01-10,591052,290362
2018-01-11,612817,304982
2018-01-12,716956,317639
2018-01-13,761410,321879
2018-01-14,719580,290953
2018-01-15,565472,246888
2018-01-16,592789,295727
2018-01-17,627873,305009
2018-01-18,658000,330715
2018-01-19,708046,325598
2018-01-20,717557,294520
2018-01-21,617388,252191
2018-01-22,552075,261653
2018-01-23,586249,287525
2018-01-24,614084,315567
2018-01-25,672124,331893
2018-01-26,738489,335361
2018-01-27,749022,309969
2018-01-28,649079,259807
2018-01-29,565213,266607
2018-01-30,608464,302841
2018-01-31,640538,319043
2018-02-01,649460,321043
2018-02-02,786819,349367
2018-02-03,810071,316598
2018-02-04,751196,265824
2018-02-05,614590,286197
2018-02-06,612571,303040
2018-02-07,717000,315745
2018-02-08,692751,338939
2018-02-09,758104,337384
2018-02-10,836649,322013
2018-02-11,709140,261619
2018-02-12,599939,287888
2018-02-13,639874,317895
2018-02-14,691461,321593
2018-02-15,678110,322857
2018-02-16,732810,322030
2018-02-17,805404,305440
2018-02-18,673353,253403
2018-02-19,569086,241819
2018-02-20,565060,268383
2018-02-21,605486,297486
2018-02-22,704800,328851
2018-02-23,755917,328744
2018-02-24,802508,312893
2018-02-25,707915,269527
2018-02-26,596860,278570
2018-02-27,616018,301618
2018-02-28,643612,314604
2018-03-01,719438,332802
2018-03-02,875723,326944
2018-03-03,792836,316823
2018-03-04,716263,286326
2018-03-05,633218,290631
2018-03-06,655452,315726
2018-03-07,631928,233278
2018-03-08,720608,326640
2018-03-09,775323,348424
2018-03-10,823519,342083
2018-03-11,687802,278455
2018-03-12,636584,293843
2018-03-13,669176,306557
2018-03-14,701513,336119
2018-03-15,737888,348198
2018-03-16,783607,349840
2018-03-17,828884,325099
2018-03-18,700826,278789
2018-03-19,618220,271630
2018-03-20,677685,313025
2018-03-21,508268,183629
2018-03-22,714725,300702
2018-03-23,752966,325852
2018-03-24,788342,310630
2018-03-25,704329,275756
2018-03-26,620395,280093
2018-03-27,643542,298685
2018-03-28,668015,314051
2018-03-29,709599,325600
2018-03-30,729691,307559
2018-03-31,748177,285252
2018-04-01,626934,244394
2018-04-02,567850,258930
2018-04-03,619745,305554
2018-04-04,616003,310941
2018-04-05,660854,332195
2018-04-06,707066,326443
2018-04-07,757627,321219
2018-04-08,708105,279660
2018-04-09,634597,285025
2018-04-10,647496,308094
2018-04-11,668086,320829
2018-04-12,697786,327104
2018-04-13,760910,333091
2018-04-14,853489,347332
2018-04-15,766439,300236
2018-04-16,691121,281191
2018-04-17,662987,321839
2018-04-18,670809,320981
2018-04-19,750576,348981
2018-04-20,792125,347009
2018-04-21,823443,319168
2018-04-22,707662,277623
2018-04-23,615955,285483
2018-04-24,640618,309584
2018-04-25,717274,325631
2018-04-26,704598,331170
2018-04-27,788698,332721
2018-04-28,829774,324822
2018-04-29,727668,281427
2018-04-30,658103,296350
2018-05-01,630607,305388
2018-05-02,670601,321940
2018-05-03,738386,334832
2018-05-04,757460,333124
2018-05-05,830934,333746
2018-05-06,684919,280027
2018-05-07,611360,284376
2018-05-08,631845,309713
2018-05-09,661470,316850
2018-05-10,726786,328291
2018-05-11,748143,324657
2018-05-12,836225,321304
2018-05-13,734883,281192
2018-05-14,620566,294041
2018-05-15,691139,309021
2018-05-16,742678,320011
2018-05-17,732511,327502
2018-05-18,755594,331926
2018-05-19,860686,317784
2018-05-20,680900,267278
2018-05-21,596366,278706
2018-05-22,668983,297516
2018-05-23,662660,300095
2018-05-24,696677,305096
2018-05-25,719961,279799
2018-05-26,728516,236359
2018-05-27,653140,203496
2018-05-28,539207,187561
2018-05-29,613762,275451
2018-05-30,650512,301164
2018-05-31,728512,315499
2018-06-01,777137,320529
2018-06-02,831143,308393
2018-06-03,723542,265244
2018-06-04,613582,279353
2018-06-05,591456,298140
2018-06-06,639174,315354
2018-06-07,677944,319315
2018-06-08,717348,315660
2018-06-09,770941,293934
2018-06-10,678901,249740
2018-06-11,617379,278488
2018-06-12,630654,295377
2018-06-13,690457,312651
2018-06-14,722195,316168
2018-06-15,720144,281883
2018-06-16,772541,275862
2018-06-17,682964,247840
2018-06-18,656843,281485
2018-06-19,672359,298528
2018-06-20,693247,307880
2018-06-21,732297,309069
2018-06-22,766875,311362
2018-06-23,783959,273667
2018-06-24,693716,243786
2018-06-25,632496,267868
2018-06-26,636799,287191
2018-06-27,662921,297916
2018-06-28,738050,302796
2018-06-29,745184,285426
2018-06-30,817369,272402
